identifier,description_en
crossReference,"reference from one dataset to another"
largerWorkCitation,"reference to a master dataset of which this one is a part"
partOfSeamlessDatabase,"part of the same structured set of data held in a computer"
source,"mapping and charting information from which the dataset content originates"
stereoMate,"part of a set of imagery that when used together, provides three-dimensional images"
