identifier,description_en
copyright,"exclusive right to the publication, production, or sale of the rights to a literary, dramatic, musical, or artistic work, or to the use of a commercial print or label, granted by law for a specified period of time to an author, composer, artist, distributor"
patent,"government has granted exclusive right to make, sell, use or license an invention or discovery"
patentPending,"produced or sold information awaiting a patent"
trademark,"a name, symbol, or other device identifying a product, officially registered and legally restricted to the use of the owner or manufacturer"
license,"formal permission to do something"
intellectualPropertyRights,"rights to financial benefit from and control of distribution of non-tangible property that is a result of creativity"
restricted,"withheld from general circulation or disclosure"
otherRestrictions,"limitation not listed"
