identifier,description_en
complex,"set of geometric primitives such that their boundaries can be represented as a union of other primitives"
composite,"connected set of curves, solids or surfaces"
curve,"bounded, 1-dimensional geometric primitive, representing the continuous image of a line"
point,"zero-dimensional geometric primitive, representing a position but not having an extent"
solid,"bounded, connected 3-dimensional geometric primitive, representing the continuous image of a region of space"
surface,"bounded, connected 2-dimensional geometric primitive, representing the continuous image of a region of a plane"
