identifier,label,description,label_fr,description_fr
attribute,Attribute,"Information applies to the attribute class",Attribut,"Information qui s’applique à une classe d’attributs"
attributeType,"Attribute type","Information applies to the characteristic of a feature","Type d’attribut","Information qui s’applique à la caractéristique d’une entité géographique"
dataset,Dataset,"Information applies to the dataset","Jeu de données","Information qui s’applique au jeu de données"
series,Series,"Information applies to the series",Série,"Information qui s’applique à une série"
nonGeographicDataset,"Non geographic dataset","Information applies to non-geographic data","Jeu de données non géographiques","Information qui s’applique à des données non-géographiques"
feature,Feature,"Information applies to a feature",Elément,"Information qui s’applique à un élément (entité géographique)"
featureType,"Feature type","Information applies to a feature type","Type d’élément","Information qui s’applique à un type d’élément"
propertyType,"Property type","Information applies to a property type","Type de propriété","Information qui s’applique à un type de propriété"
tile,Tile,"Information applies to a tile, a spatial subset of geographic data",Tuile,"Information qui s’applique à une tuile, un sous-ensemble spatial de données géographiques"
