identifier,label,description,label_fr,description_fr
download,Download,"online instructions for transferring data from one storage device or system to another",Téléchargement,"transfert de la ressource d'un système à un autre"
information,Information,"online information about the resource",Information,"description de la ressource en ligne"
offlineAccess,"Off line access","online instructions for requesting the resource from the provider","Accès hors ligne","information pour requérir la ressource"
order,Order,"online order process for obtening the resource","commande en ligne","formulaire pour obtenir la ressource"
search,Search,"online search interface for seeking out information about the resource","Moteur de recherche","interface de recherche d'information sur la ressource"
