Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/SwathTypeValue/3DSeismics,fr,sismique 3D,,Mesure géophysique utilisée pour enregistrer la réponse acoustique de sources sismiques sur une zone dans le but de définir la distribution de propriétés sismiques en 3D dans un volume de la Terre.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/SwathTypeValue,Type de faisceau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SwathTypeValue/radarInterferometry,fr,radar interferometry,,Radar mapping technique used to detect centimeter-sized changes in the Earth's crust due to natural phenomena.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SwathTypeValue,Type de faisceau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/SwathTypeValue/sonar,fr,sonar,,Sound Navigation And Ranging system used for underwater mapping,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/SwathTypeValue,Type de faisceau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
