Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/StationTypeValue/gravityStation,fr,station gravimétrique,,Station géophysique dont la fonction consiste à observer le champ de gravité.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/magneticStation,fr,station magnétique,,Station géophysique dont la fonction consiste à observer le champ magnétique.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/seismologicalStation,fr,station sismologique,,Station géophysique dont la fonction consiste à observer des mouvements importants liés à des événements sismologiques (tremblements de terre) ou le bruit ambiant.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/verticalElectricSounding,fr,sondage électrique vertical,,Station géophysique dont la fonction consiste à mesurer la résistivité électrique souterraine et/ou les changements de chargeabilité (IP - polarisation induite) en profondeur, au moyen de 4 électrodes («AMNB») et du courant continu. Connu également sous le nom de «VES»,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/magnetotelluricSounding,fr,sondage magnétotellurique,,Station géophysique dont la fonction consiste à mesurer les changements de résistivité électrique souterraine en utilisant les variations du champ électromagnétique naturel. Connue également sous le nom de «sondage magnétotellurique (MT)».,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/timeDomainEMSounding,fr,time-domain em sounding,,Geophysical station to measure underground electric resistivity changes in depth using time domain signal. Also known as TDEM sounding.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/frequencyDomainEMSounding,fr,frequency domain em sounding,,Geophysical station to measure underground electric resistivity changes in depth using frequency domain signal , Also known as FDEM sounding.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/radiometricStation,fr,radiometric station,,Geophysical station to observe radioactive radiation intensity,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Type de station,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
