identifier,description_en
completed,"production of the data has been completed"
historicalArchive,"data has been stored in an offline storage facility"
obsolete,"data is no longer relevant"
onGoing,"data is continually being updated"
planned,"fixed date has been established upon or by which the data will be created or updated"
required,"data needs to be generated or updated"
underDevelopment,"data is currently in the process of being created"
