identifier,description_en
center,"point halfway between the lower left and the upper right of the pixel"
lowerLeft,"the corner in the pixel closest to the origin of the SRS; if two are at the same distance from the origin, the one with the smallest x-value"
lowerRight,"next corner counterclockwise from the lower left"
upperRight,"next corner counterclockwise from the lower right"
upperLeft,"next corner counterclockwise from the upper right"
