identifier,description_en
cpio,"CoPy In / Out (UNIX file format and command)"
tar,"Tape ARchive"
highSierra,"high sierra file system"
iso9660,"information processing   volume and file structure of CD-ROM"
iso9660RockRidge,"rock ridge interchange protocol (UNIX)"
iso9660AppleHFS,"hierarchical file system (Macintosh)"
