identifier,description_en
creation,"date identifies when the resource was brought into existence"
publication,"date identifies when the resource was issued"
revision,"date identifies when the resource was examined or re-examined and imporved or amended"
download,"online instructions for transferring data from one storage device or system to another"
information,"online information about the resource"
offlineAccess,"online instructions for requesting the resource from the provider"
order,"online order process for obtening the resource"
search,"online search interface for seeking out information about the resource"
