identifier,description_en
unclassified,"available for general disclosure"
restricted,"not for general disclosure"
confidential,"available for someone who can be entrusted with information"
secret,"kept or meant to be kept private, unknown, or hidden from all but a select group of people"
topSecret,"of the highest secrecy"
