identifier,description_en
row,"ordinate (y) axis"
column,"abscissa (x) axis"
vertical,"vertical (z) axis"
track,"along the direction of motion of the scan point"
crossTrack,"perpendicular to the direction of motion of the scan point"
line,"scan line of a sensor"
sample,"element along a scan line"
time,duration
