identifier,description_en
discipline,"keyword identifies a branch of instruction or specialized learning"
place,"keyword identifies a location"
stratum,"keyword identifies the layer(s) of any deposited substance"
temporal,"keyword identifies a time period related to the dataset"
theme,"keyword identifies a particular subject or topic"
