ID,Language,Label,Definition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/StationTypeValue/gravityStation,en,gravity station,,Geophysical station to observe gravitational field.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/magneticStation,en,magnetic station,,Geophysical station to observe magnetic field.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/seismologicalStation,en,seismological station,,Geophysical station to observe strong motion seismological events (earthquake) or ambient noise.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/verticalElectricSounding,en,vertical electric sounding,,Geophysical station to measure underground electric resistivity and/or chargeability (IP) changes in depth using 4 electrodes (AMNB) and direct current. Also known as VES.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/magnetotelluricSounding,en,magnetotelluric sounding,,Geophysical station to measure underground electric resistivity changes using natural electromagnetic field variations. Also known as MT sounding.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/timeDomainEMSounding,en,time-domain em sounding,,Geophysical station to measure underground electric resistivity changes in depth using time domain signal. Also known as TDEM sounding.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/frequencyDomainEMSounding,en,frequency domain em sounding,,Geophysical station to measure underground electric resistivity changes in depth using frequency domain signal , Also known as FDEM sounding.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,
http://inspire.ec.europa.eu/codelist/StationTypeValue/radiometricStation,en,radiometric station,,Geophysical station to observe radioactive radiation intensity,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/StationTypeValue,Station Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
