Identifiant|Langue|Etiquette|Définition|Description|Governance level ID|Governance level Label|Codelist ID|Codelist label|Reference Source|Reference Link|Status ID|Status label|Parent ID|Successor ID|Predecessor ID
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/measurement|fr|mesure||Campagne d'acquisition de données de terrain.|http://inspire.ec.europa.eu/registry/governance-level/eu-legal|Legal (EU)|http://inspire.ec.europa.eu/codelist/CampaignTypeValue|Type de campagne|||http://inspire.ec.europa.eu/registry/status/valid|Validé|||
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/processing|fr|processing||data processing campaign|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/CampaignTypeValue|Type de campagne|||http://inspire.ec.europa.eu/registry/status/valid|Validé|||
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/interpretation|fr|interpretation||interpretation campaign|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/CampaignTypeValue|Type de campagne|||http://inspire.ec.europa.eu/registry/status/valid|Validé|||
