Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/NetworkNameValue/GSN,fr,GSN,,Global Seismographic Network (Réseau sismographique mondial),http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/IMS,fr,IMS,,Réseau sismologique de l'IMS (Système de surveillance international),http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/INTERMAGNET,fr,INTERMAGNET,,International Real-time Magnetic Observatory Network (Réseau international d'observatoires magnétiques transmettant leurs données en temps quasi réel),http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/UEGN,fr,UEGN,,Unified European Gravity Network (Réseau gravimétrique européen unifié),http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/WDC,fr,WDC,,World Data Center (Centre mondial de rassemblement des données),http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/other,fr,other,,other network,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Nom du réseau,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
