Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/boreholeLogging,fr,diagraphie de forage,,Mesure géophysique le long de l'axe d'un forage réalisée avec un dispositif spécial de diagraphie.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/multielectrodeDCProfile,fr,profil continu multi-électrodes,,Mesure de résistivité en courant continu et/ou de chargeabilité (polarisation induite) réalisée le long d’un profil avec un plus grand nombre d’électrodes. Connu également sous le nom de tomographie de résistivité 2D.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/seismicLine,fr,ligne sismique,,Mesure géophysique utilisée pour enregistrer la réponse acoustique de sources sismiques le long d’une ligne, dans le but de définir les propriétés sismiques dans une coupe de la Terre.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/flightLine,fr,flight line,,Geophysical measurement carried out from a flying platform along a line,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/conePenetrationTest,fr,cone penetration test,,Geotechnical and geophysical measurement carried out by pushing down an instrumented cone into the ground. Also known as CPT.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/verticalSeismicProfile,fr,vertical seismic profile,,Geophysical measurement used to record acoustic response of waves travelling between a borehole and the surface. Also known as VSP.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/ProfileTypeValue/georadarProfile,fr,georadar profile,,Geophysical measurement used to record electromagnetic response from a radar source along a profile in order to define EM properties in a cross section of the earth.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/ProfileTypeValue,Type de profil,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
