Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/ground,fr,sol,,Mesure réalisée à même le sol.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/landVehicle,fr,véhicule terrestre,,Mesure réalisée à partir d'un véhicule terrestre.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/fixedWingAirplane,fr,avion à aile fixe,,Mesure réalisée à partir d'un avion à aile fixe.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/helicopter,fr,hélicoptère,,Mesure réalisée à partir d'un hélicoptère.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/seafloor,fr,fond marin,,Mesure réalisée sur le fond marin.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/researchVessel,fr,navire de recherche,,Mesure réalisée à partir d'un navire de recherche.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/satellite,fr,satellite,,Mesure réalisée à partir d'un satellite.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/PlatformTypeValue/other,fr,other,,Measurement carried out from other type of platform,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/PlatformTypeValue,Type de plateforme,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
