ID,Language,Label,Definition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/measurement,en,measurement,,Field data acquisition campaign.,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/CampaignTypeValue,Campaign Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/processing,en,processing,,data processing campaign,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/CampaignTypeValue,Campaign Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/CampaignTypeValue/interpretation,en,interpretation,,interpretation campaign,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/CampaignTypeValue,Campaign Type,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
