Identifiant,Langue,Etiquette,Définition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/CurveModelTypeValue/compositLog,fr,compositLog,,A set of processed or interpreted physical parameter curves along the axis of a borehole,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/CurveModelTypeValue,Curve Model Type,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
http://inspire.ec.europa.eu/codelist/CurveModelTypeValue/layerModel,fr,layerModel,,1D layer model, encoded as discrete curve coverage.,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/CurveModelTypeValue,Curve Model Type,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,
http://inspire.ec.europa.eu/codelist/CurveModelTypeValue/seismicTimeSection,fr,seismicTimeSection,,Series of seismic property - two way time functions referenced to CDP locations,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/CurveModelTypeValue,Curve Model Type,,,http://inspire.ec.europa.eu/registry/status/valid,Validé,,,
