ID,Language,Label,Definition,Description,Governance level ID,Governance level Label,Codelist ID,Codelist label,Reference Source,Reference Link,Status ID,Status label,Parent ID,Successor ID,Predecessor ID
http://inspire.ec.europa.eu/codelist/NetworkNameValue/GSN,en,GSN,,Global Seismographic Network,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/IMS,en,IMS,,IMS Seismological network,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/INTERMAGNET,en,INTERMAGNET,,International Real-time Magnetic Observatory Network,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/UEGN,en,UEGN,,Unified European Gravity Network,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/WDC,en,WDC,,World Data Center,http://inspire.ec.europa.eu/registry/governance-level/eu-legal,Legal (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
http://inspire.ec.europa.eu/codelist/NetworkNameValue/other,en,other,,other network,http://inspire.ec.europa.eu/registry/governance-level/eu-technical,Technical (EU),http://inspire.ec.europa.eu/codelist/NetworkNameValue,Network Name,,,http://inspire.ec.europa.eu/registry/status/valid,Valid,,,
